DisCo,s_n,band,feeder_description,min_supply_hours,order_effective_date,source_report,verification_note
Benin,20,A,EFFURUN Wayside Road Wayside and Delta Mall,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,21,A,"EKSU Aramoko Road New CBN, Igede, Aramoko, Iworoko",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,22,A,ELIZADE ELIZADE UNIVERSITY ELIZADE UNIVESITY AND OTHERS,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,23,A,"ESTATE-COMMERCIAL Estate Okada Igbinedion University, Igbenidion estate, Ewaila, prince hotel road",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,24,A,"ETETE Etete Etete, Country Home, Ugbor, Amagba",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,25,A,FEDERAL SECRETARIAT COMMERCIAL FEDERAL HOUSING ESTATE FEDERAL HOUSING ESTATE AND ITS ENVIRONS,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,26,A,"FUTA Dedicated to FUTA Federal University of Technology, Akure",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,27,A,"GRA GRA GRA, Etete, Akenzua, Oba Palace Area, Ihama, Part of Airpirt Road and Ogba",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,28,A,"GRA COMMERCIAL Benin GRA Sapele road, Ihama, Adesuwa road, Boundary road, Aideyan road, Etete road, pole street",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,29,A,GSM Industrial area Asaba - Kwale express road,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,30,A,GUINNESS Guinness factory Guinness factory,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,31,A,"HEAD BRIDGE KOKA ROAD KOKA, ONITSHA/ASABA EXPRESS",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,32,A,"IDSL COMMERCIAL IDSL IDSL, AIRPORT ROAD, 2ND, UGBOR",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,33,A,"IGBARA OKE Ijare Road Oke,Odu, Ipinsa, Ilere, Ijare, Ilara Mokin, Ibule, Ipogun.Ero, Isarun, Igbara Oke Ibuji, Igbara Odo, Ogotun, Owena, Ikeji & Joseph Ayo Babalola University",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,34,A,IGBOKODA Igodalisa/Igbokoda road Igbokoda Community,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,35,A,"IHOVBOR IHOVBOR ROAD IHOVBOR, EGBA",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,36,A,"IJIGBO COMMERCIAL AGRIC/OLOPE AGRIC OLOPE, AJILOSUN, IJIGBO AND OJA OBA MARKET ROAD",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,37,A,"IJU IJU/ITAOGBOLU IJU/ITAOGBOLU, OBAILE, IJOKA",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,38,A,"IKERE IKERE TOWN PASTORAL, IKERE",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,39,A,"IKPOBA-HILL-COMMERCIAL IKPOBA HILL ADUWAWA, AGBOR ROAD",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,40,A,"ILAWE/ARAMOKO ILAWE ROAD ILAWE ROAD, ODO, ILAWE AND ERINJIYAN/IKOGOSI",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,41,A,IMONIYAME Imoniyame Imoniyame street,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,42,A,"INDUSTRIAL Mechanic Village Mechanic Village, Shell Road, Sapele-warri Road, Ikihdero",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,43,A,"INDUSTRIAL COMMERCIAL MECHANIC VILLAGE MECHANIC VILLAGE,SHELL ROAD,SAPELE WARRI ROAD,IKHIDERO",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,44,A,"ISELE-UKU Isele-Uku Road Okpanam, Issele-uku",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,45,A,"IWOROKO/IKOLE EKUTE ROAD EKUTE, AGRIC/UREJE, IJAN, AISEGBA, ODE, OMUO",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,46,A,"JAMES HOPE COMMERCIAL Boji Boji Boji-Boji Agbor, Boji-Boji Owa",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,47,A,"KOKA COMMERCIAL COMMERCIAL AREA KOKA, ONITSHA/ASABA EXPRESS",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,48,A,"LIMIT ROAD COMMERCIAL Country Home, Off Sapele Road Country home road, limit road, Ugbor Amagba road, Ogumwenyi road, MTN mast part of First ugbor",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,49,A,"MBH COMMERCIAL PSYCHIATRIC ROAD PHYCHIATRIC HOSPITAL, PLAY HOUSE, BANKS WITHIN UNIBEN",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,50,A,"MD COMMERCIAL COMMERCIAL AREA SAW MILL, PART OF EKETE,ORHUWURUN",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,51,A,"MOSOGAR Mosogar Amukpe, Jesse, Oben, Mosogar",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,52,A,"NEKPENEKPEN Sokponba Area Sokponba Area, Third East Circular, Ogiso, Ekiosa",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,53,A,"OBA-ILE/REC Akure Town Alagbaka, Ijapo, Igoba, Akure Town",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,54,A,ODE-AYE Okitipupa Ore Road Ode-Aye Community,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,55,A,OGHARA COMMERCIAL Community Road Nepal Energies,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,56,A,OGHARA TEACHING HOSPITAL Dedicated To Oghara Teaching Hospital Oghara Teaching Hospital,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,57,A,"OGHARA TOWN OGHARA TOWN OGHARA TOWN,OTUMARA , UGBENU, OVADE,KOKO E.T.C",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,58,A,OGWASHI-UKU Ogwashi-uku Ogwashi-Uku and Ibusa Town,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,59,A,"OGWASHI-UKU COMMERCIAL Old Lagos road Obulu-sor rd, Old Lagos rd",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,60,A,"OKADA Okada Usen, Okada Town, Igbinedion Estate",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,61,A,OKPANAM COMMERCIAL Okpanam Eagle Square and Post Office Axis,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,62,A,"OLUKU ISIHOR ROAD NIFOR, EVBONEKA, ISIHOR, AKURE ROAD, PART OF UWELU, ERHINMWINDE, EGBAEN-SILUKO, OGHEGHE, IGUADOLOR, UHOGWA",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,63,A,"OLUKU-COMMERCIAL BENIN LAGOS ROAD BENIN-LAGOS ROAD, OKHUNHUN",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,64,A,"ONDO ILE-OLUJI ROAD ONDO, ILE-OLUJI, OKE IGBO, IFETEDO",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,65,A,"PS-COMMERCIAL COMMISSIONERS QUARTERS GOVT. HOUSE, PS QTRES, COMMISSIONERS QTRES, DEPUTY GOVERNOR OFFICE",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,66,A,"PTI UDU ROAD DSC EXPRESSWAY, OTOKUTU,OKPAKA,OPETE AND UDU",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,67,A,"RAMAT BENIN AUCHI ROAD/AGBOR ROAD ASABA RD, AUCHI RD, I-HILL ,ADUWAWA ,FHE,EYAEN, BDPA AND ENVIRON",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,68,A,"ROYAL-COMMERCIAL Isikan road Alda Royal hotel rd, Bola Komo str., Oyemejekun road, Isikan rd",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,69,A,RUBBER ESTATE Dedicated to Rubber estate Rubber estate,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,70,A,"SAPELE (EFFURUN) Refinery Road Refinery road, Effurun/Sapele road, Ohore Village and Egborode Community",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
